message_body,content_offset_seconds,message_user_color,commenter_display_name,message_fragments
Pog,8.319,#CC00BE,iFordicus,"[{""text"": ""Pog""}]"
saved KEKW,8.396,#008000,alonetimeispeacemind,"[{""text"": ""saved KEKW""}]"
PogU,8.419,#FF4500,RamaXDL,"[{""text"": ""PogU""}]"
dsup,8.419,#7AAAB4,teloahs,"[{""text"": ""dsup""}]"
yo,8.448,#FF0000,Siqx,"[{""text"": ""yo""}]"
SAVED PogU,8.534,#0000FF,Camp3ReL,"[{""text"": ""SAVED PogU""}]"
Pog,8.535,,AnimatedHugh,"[{""text"": ""Pog""}]"
Pog,8.668,,DrDachsHund,"[{""text"": ""Pog""}]"
YOO,8.742,#B22222,lexil,"[{""text"": ""YOO""}]"
TenshiHS please stay :( he just reset the delay!!!!,8.76,#FF0000,Football_Coach,"[{""text"": ""TenshiHS please stay ""}, {""text"": "":("", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""2""}}, {""text"": "" he just reset the delay!!!!""}]"
HI,8.791,,36eagles,"[{""text"": ""HI""}]"
HERES IT COMES,8.795,#9ACD32,mmmooore,"[{""text"": ""HERES IT COMES""}]"
Hi,8.826,#8A2BE2,BundledTown,"[{""text"": ""Hi""}]"
Kappa 123,8.83,#FF0000,lidl_beast,"[{""text"": ""Kappa"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""25""}}, {""text"": "" 123""}]"
banned,8.847,#8A2BE2,orochipetesito,"[{""text"": ""banned""}]"
mizkifYo,9.055,#2E8B57,mido_rma,"[{""text"": ""mizkifYo"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""301038062""}}]"
L,9.094,#CC0000,knightwares,"[{""text"": ""L""}]"
F,9.108,,Enokian,"[{""text"": ""F""}]"
yes,9.11,#0000FF,Ragnar_Jackbrock,"[{""text"": ""yes""}]"
LATE WeirdChamp,9.117,#8A2BE2,Quiqueex,"[{""text"": ""LATE WeirdChamp""}]"
PogU,9.172,#FF69B4,ninjakaizo,"[{""text"": ""PogU""}]"
BYE VIEWERS KEKW BYE VIEWERS KEKW BYE VIEWERS KEKW BYE VIEWERS KEKW BYE VIEWERS KEKW BYE VIEWERS KEKW BYE VIEWERS KEKW BYE VIEWERS KEKW,9.207,#00FF7F,fussy_hotel,"[{""text"": ""BYE VIEWERS KEKW BYE VIEWERS KEKW BYE VIEWERS KEKW BYE VIEWERS KEKW BYE VIEWERS KEKW BYE VIEWERS KEKW BYE VIEWERS KEKW BYE VIEWERS KEKW""}]"
Wait did they win?!?,9.228,,poshleyheights,"[{""text"": ""Wait did they win?!?""}]"
AD,9.24,,Diancai,"[{""text"": ""AD""}]"
LIVE Pog,9.249,#8F0000,Mattmxm,"[{""text"": ""LIVE Pog""}]"
SAVED,9.458,#FF4500,abaws_,"[{""text"": ""SAVED""}]"
WE BACK,9.487,#FF0000,the_one_16,"[{""text"": ""WE BACK""}]"
gj,9.521,#00FF7F,xKiroo,"[{""text"": ""gj""}]"
SR0-3 PauseChamp,9.783,#FFB61D,MrSumo,"[{""text"": ""SR0-3 PauseChamp""}]"
no :),9.979,#2297B2,RosarioVampi,"[{""text"": ""no ""}, {""text"": "":)"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""1""}}]"
BYE VIEWERS KEKW BYE VIEWERS KEKW BYE VIEWERS KEKW BYE VIEWERS KEKW,11.338,#00FF7F,fussy_hotel,"[{""text"": ""BYE VIEWERS KEKW BYE VIEWERS KEKW BYE VIEWERS KEKW BYE VIEWERS KEKW""}]"
yes,11.344,#FF0000,lidl_beast,"[{""text"": ""yes""}]"
peepoArrive,11.386,#FF69B4,Lukasx8,"[{""text"": ""peepoArrive""}]"
Pog,11.424,#FF0000,saffattack,"[{""text"": ""Pog""}]"
naroWink hi,11.451,#0088FF,Joefisx20s,"[{""text"": ""naroWink"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""955650""}}, {""text"": "" hi""}]"
W,11.509,#00FF7F,gerjanqwe,"[{""text"": ""W""}]"
no,11.51,,yloma123,"[{""text"": ""no""}]"
tyler1Hey,11.527,#1E90FF,muffin1stuffer,"[{""text"": ""tyler1Hey"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""106169""}}]"
NO PogU,11.531,#1E90FF,daimond123yt,"[{""text"": ""NO PogU""}]"
NO,11.566,#00FF7F,mrlockhead,"[{""text"": ""NO""}]"
SR OMEGALUL AND ND5 KEKW,11.62,#FF0000,dundun69,"[{""text"": ""SR OMEGALUL AND ND5 KEKW""}]"
no,11.631,#CC003A,kodoki_,"[{""text"": ""no""}]"
no,11.697,,Acejokeraz,"[{""text"": ""no""}]"
YES,11.698,#F6FF00,CYBERBOOLI_xD,"[{""text"": ""YES""}]"
Pog,11.746,#FF0000,AquaticSnail,"[{""text"": ""Pog""}]"
PogU,12.003,#8A2BE2,jlonic,"[{""text"": ""PogU""}]"
SUP SUP,12.043,#FF0000,Madurax,"[{""text"": ""SUP SUP""}]"
:),12.074,,Singhh98,"[{""text"": "":)"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""1""}}]"
WE BACK!,12.077,#CC6300,DPritz,"[{""text"": ""WE BACK!""}]"
SUPP,12.134,,francessssssss,"[{""text"": ""SUPP""}]"
H3 never came back D:,12.149,#FF69B4,rekt_0ne,"[{""text"": ""H3 never came back D:""}]"
N OMEGALUL,12.15,#0000FF,psychxc,"[{""text"": ""N OMEGALUL""}]"
PogU SAVED,12.168,#DFE3E8,comics101,"[{""text"": ""PogU SAVED""}]"
Pog,12.187,,tbc_baby,"[{""text"": ""Pog""}]"
no,12.188,#5F9EA0,meimou,"[{""text"": ""no""}]"
WHATS GOOD WINNER MAN PogU,13.387,#00FF7F,FPSpsychoYT,"[{""text"": ""WHATS GOOD WINNER MAN PogU""}]"
PogU,14.344,,alexeyevich_ilya,"[{""text"": ""PogU""}]"
no,14.373,#1E90FF,Myst_gg,"[{""text"": ""no""}]"
HeyGuys,14.382,#B22222,kylethomas1211,"[{""text"": ""HeyGuys"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""30259""}}]"
: PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED,14.437,,mattatatt7,"[{""text"": "": ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED""}]"
WASSUUUU,14.455,#DAA520,reddlol,"[{""text"": ""WASSUUUU""}]"
Pog,14.619,#0000FF,kubbe1337,"[{""text"": ""Pog""}]"
PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED,14.632,#FF69B4,savitridevi,"[{""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED""}]"
TIME TRAVEL,14.645,,Jayraymayisgay,"[{""text"": ""TIME TRAVEL""}]"
POG,14.657,,Idiosity321,"[{""text"": ""POG""}]"
Pog,14.659,,Rokayori,"[{""text"": ""Pog""}]"
MOE SAID PUMMEL @loltyler1 PogYou MOE SAID PUMMEL @loltyler1 PogYou MOE SAID PUMMEL @loltyler1 PogYou MOE SAID PUMMEL @loltyler1 PogYou MOE SAID PUMMEL @loltyler1 PogYou MOE SAID PUMMEL @loltyler1 PogYou,14.886,#8A2BE2,michaelduffy,"[{""text"": ""MOE SAID PUMMEL @loltyler1 PogYou MOE SAID PUMMEL @loltyler1 PogYou MOE SAID PUMMEL @loltyler1 PogYou MOE SAID PUMMEL @loltyler1 PogYou MOE SAID PUMMEL @loltyler1 PogYou MOE SAID PUMMEL @loltyler1 PogYou""}]"
KEKW,14.896,#8A2BE2,Elite1430,"[{""text"": ""KEKW""}]"
n o,15.047,#FF69B4,bouttafinnasniff,"[{""text"": ""n o""}]"
SAVED,15.066,,Mohamd99zh,"[{""text"": ""SAVED""}]"
SAVED Pog,15.068,,Bladine,"[{""text"": ""SAVED Pog""}]"
sssavedd,15.08,,medicalusee,"[{""text"": ""sssavedd""}]"
tyler1Hey,15.142,#F772B6,Battlepiggy_,"[{""text"": ""tyler1Hey"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""106169""}}]"
adaddd,15.177,#FF3FF0,azirm,"[{""text"": ""adaddd""}]"
no :),15.248,#00FF80,kepz0,"[{""text"": ""no ""}, {""text"": "":)"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""1""}}]"
no,15.28,#2E8B57,OWMordho,"[{""text"": ""no""}]"
Sup hector,15.289,,thiccbeefcake69,"[{""text"": ""Sup hector""}]"
PowerUpL OhMyDog PowerUpR PowerUpL OhMyDog PowerUpR PowerUpL OhMyDog PowerUpR PowerUpL OhMyDog PowerUpR PowerUpL OhMyDog PowerUpRPowerUpL OhMyDog PowerUpR,15.403,,pabloarteaga3,"[{""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" PowerUpRPowerUpL ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}]"
SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED!,15.483,#9ACD32,bestpastryna,"[{""text"": ""SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED!""}]"
selphyHi,15.689,#008000,reptileGEDO,"[{""text"": ""selphyHi"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""1790515""}}]"
HeyGuys,15.725,,potarohat,"[{""text"": ""HeyGuys"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""30259""}}]"
tyler1Hey,15.834,#FF69B4,ryodali1,"[{""text"": ""tyler1Hey"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""106169""}}]"
PogYou,15.919,#FF0000,GGGodar,"[{""text"": ""PogYou""}]"
woah is this tyler from the future!?,16.063,#00FF7F,Supportarino,"[{""text"": ""woah is this tyler from the future!?""}]"
tyler1R1 tyler1R2,16.12,,Niviere,"[{""text"": ""tyler1R1"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""140809""}}, {""text"": "" ""}, {""text"": ""tyler1R2"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""140810""}}]"
IM SO HAPPY,16.154,#F6FF00,CYBERBOOLI_xD,"[{""text"": ""IM SO HAPPY""}]"
peepoLeave stream over,16.165,#DAA520,lolazuren,"[{""text"": ""peepoLeave stream over""}]"
we back,17.344,,stebbings99,"[{""text"": ""we back""}]"
Yes,17.492,,kazmall,"[{""text"": ""Yes""}]"
´pogyou,17.513,,tfleo,"[{""text"": ""\u00b4pogyou""}]"
PowerUpL OhMyDog PowerUpR,17.8,,36eagles,"[{""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}]"
NO,17.93,#00FF7F,Kawre,"[{""text"": ""NO""}]"
@loltyler1 yo what up good games bro,17.961,#FF0000,bisgetti,"[{""text"": ""@loltyler1 yo what up good games bro""}]"
WeirdChamp LATE,17.991,,jakjakfan,"[{""text"": ""WeirdChamp LATE""}]"
PogU,18.017,,terebes07501,"[{""text"": ""PogU""}]"
